Day,Start Time,End Time,Subject,RoomId,Class Group,Faculty
Monday,09:00,09:50,Data Structures,64a1b2c3d4e5f67890abcdef1,3A,Dr. R. Sharma
Monday,10:00,10:50,Algorithms,64a1b2c3d4e5f67890abcdef2,3B,Prof. S. Gupta
Monday,11:00,11:50,Database Systems,64a1b2c3d4e5f67890abcdef3,4A,Dr. P. Verma
Tuesday,09:00,09:50,Operating Systems,64a1b2c3d4e5f67890abcdef1,3A,Dr. A. Singh
Tuesday,10:00,10:50,Computer Networks,64a1b2c3d4e5f67890abcdef2,4B,Prof. M. Khan
Tuesday,11:00,11:50,Software Engineering,64a1b2c3d4e5f67890abcdef3,3B,Dr. N. Patel
Wednesday,09:00,09:50,Data Structures,64a1b2c3d4e5f67890abcdef1,3A,Dr. R. Sharma
Wednesday,10:00,10:50,Algorithms,64a1b2c3d4e5f67890abcdef2,3B,Prof. S. Gupta
Wednesday,11:00,11:50,Database Systems,64a1b2c3d4e5f67890abcdef3,4A,Dr. P. Verma
Thursday,09:00,09:50,Operating Systems,64a1b2c3d4e5f67890abcdef1,3A,Dr. A. Singh
Thursday,10:00,10:50,Computer Networks,64a1b2c3d4e5f67890abcdef2,4B,Prof. M. Khan
Thursday,11:00,11:50,Software Engineering,64a1b2c3d4e5f67890abcdef3,3B,Dr. N. Patel
Friday,09:00,09:50,Data Structures,64a1b2c3d4e5f67890abcdef1,3A,Dr. R. Sharma
Friday,10:00,10:50,Algorithms,64a1b2c3d4e5f67890abcdef2,3B,Prof. S. Gupta
Friday,11:00,11:50,Database Systems,64a1b2c3d4e5f67890abcdef3,4A,Dr. P. Verma
