Day,Start Time,End Time,Subject,Class Group,Faculty
Monday,08:10,09:00,,5th Sem Sec A,
Monday,09:00,09:50,DBMS,5th Sem Sec A,A
Monday,09:50,10:40,ADS,5th Sem Sec A,B
Monday,10:40,11:30,SE,5th Sem Sec A,C
Monday,11:30,12:20,,5th Sem Sec A,
Monday,12:20,13:10,,5th Sem Sec A,
Monday,13:10,14:10,,,
Monday,14:10,15:00,,5th Sem Sec A,
Monday,15:00,15:50,,5th Sem Sec A,
Monday,15:50,16:40,,5th Sem Sec A,
Monday,16:40,17:30,,5th Sem Sec A,
Monday,17:30,18:20,,5th Sem Sec A,
Tuesday,08:10,09:00,,5th Sem Sec A,
Tuesday,09:00,09:50,DBMS,5th Sem Sec A,A
Tuesday,09:50,10:40,SE,5th Sem Sec A,C
Tuesday,10:40,11:30,ADS,5th Sem Sec A,B
Tuesday,11:30,12:20,,5th Sem Sec A,
Tuesday,12:20,13:10,,5th Sem Sec A,
Tuesday,13:10,14:10,,,
Tuesday,14:10,15:00,,5th Sem Sec A,
Tuesday,15:00,15:50,,5th Sem Sec A,
Tuesday,15:50,16:40,,5th Sem Sec A,
Tuesday,16:40,17:30,,5th Sem Sec A,
Tuesday,17:30,18:20,,5th Sem Sec A,
Wednesday,08:10,09:00,,5th Sem Sec A,
Wednesday,09:00,09:50,,5th Sem Sec A,
Wednesday,09:50,10:40,,5th Sem Sec A,
Wednesday,10:40,11:30,ADS,5th Sem Sec A,B
Wednesday,11:30,12:20,NLP,5th Sem Sec A,D
Wednesday,12:20,13:10,SE,5th Sem Sec A,C
Wednesday,13:10,14:10,,,
Wednesday,14:10,15:00,DS,5th Sem Sec A,E
Wednesday,15:00,15:50,DS,5th Sem Sec A,E
Wednesday,15:50,16:40,,5th Sem Sec A,
Wednesday,16:40,17:30,,5th Sem Sec A,
Wednesday,17:30,18:20,,5th Sem Sec A,
Thursday,08:10,09:00,,5th Sem Sec A,
Thursday,09:00,09:50,DBMS,5th Sem Sec A,A
Thursday,09:50,10:40,DBMS,5th Sem Sec A,A
Thursday,10:40,11:30,NLP,5th Sem Sec A,D
Thursday,11:30,12:20,NLP,5th Sem Sec A,D
Thursday,12:20,13:10,SE,5th Sem Sec A,C
Thursday,13:10,14:10,,,
Thursday,14:10,15:00,DS,5th Sem Sec A,E
Thursday,15:00,15:50,ADS,5th Sem Sec A,B
Thursday,15:50,16:40,,5th Sem Sec A,
Thursday,16:40,17:30,,5th Sem Sec A,
Thursday,17:30,18:20,,5th Sem Sec A,
Friday,08:10,09:00,,5th Sem Sec A,
Friday,09:00,09:50,,5th Sem Sec A,
Friday,09:50,10:40,,5th Sem Sec A,
Friday,10:40,11:30,,5th Sem Sec A,
Friday,11:30,12:20,SUmmerI,5th Sem Sec A,F
Friday,12:20,13:10,SUmmerI,5th Sem Sec A,F
Friday,13:10,14:10,,,
Friday,14:10,15:00,,5th Sem Sec A,
Friday,15:00,15:50,,5th Sem Sec A,
Friday,15:50,16:40,,5th Sem Sec A,
Friday,16:40,17:30,,5th Sem Sec A,
Friday,17:30,18:20,,5th Sem Sec A,
Saturday,08:10,09:00,,5th Sem Sec A,
Saturday,09:00,09:50,,5th Sem Sec A,
Saturday,09:50,10:40,,5th Sem Sec A,
Saturday,10:40,11:30,,5th Sem Sec A,
Saturday,11:30,12:20,,5th Sem Sec A,
Saturday,12:20,13:10,,5th Sem Sec A,
Saturday,13:10,14:10,,,
Saturday,14:10,15:00,,5th Sem Sec A,
Saturday,15:00,15:50,,5th Sem Sec A,
Saturday,15:50,16:40,,5th Sem Sec A,
Saturday,16:40,17:30,,5th Sem Sec A,
Saturday,17:30,18:20,,5th Sem Sec A,
