Day,Start Time,End Time,Subject,RoomId,Class Group,Faculty
Monday,09:00,09:50,Data Structures,cse_class_room1,3A,Dr. R. Sharma
Monday,10:00,10:50,Algorithms,cse_clasroom_2,3B,Prof. S. Gupta
Tuesday,09:00,09:50,Operating Systems,cse_class_room1,3A,Dr. A. Singh
Tuesday,10:00,10:50,Computer Networks,cse_clasroom_2,4B,Prof. M. Khan
Wednesday,09:00,09:50,Database Systems,cse_class_room1,4A,Dr. P. Verma
Wednesday,10:00,10:50,Software Engineering,cse_clasroom_2,3B,Dr. N. Patel
Thursday,09:00,09:50,Data Structures,cse_class_room1,3A,Dr. R. Sharma
Thursday,10:00,10:50,Algorithms,cse_clasroom_2,3B,Prof. S. Gupta
Friday,09:00,09:50,Operating Systems,cse_class_room1,3A,Dr. A. Singh
Friday,10:00,10:50,Computer Networks,cse_clasroom_2,4B,Prof. M. Khan
